name,text
Hypothyroidism,"Hypothyroidism is a condition in which the thyroid gland does not produce enough thyroid hormone. Symptoms: Fatigue, Weight gain, Cold intolerance, Dry skin, Hair loss, Constipation, Depression, Muscle weakness, Joint pain. Treatments: Levothyroxine (thyroid hormone replacement therapy)."
Infectious Mononucleosis,"Infectious mononucleosis, also known as mono or glandular fever, is a viral infection that causes fever, sore throat, and swollen lymph nodes. Symptoms: Fatigue, Fever, Sore throat, Swollen lymph nodes, Headache, Muscle aches, Rash. Treatments: Rest, Pain relievers, Drinking fluids, Steroids (in severe cases)."
Influenza,"Influenza, commonly known as the flu, is a viral infection that affects the respiratory system. Symptoms: Fever, Cough, Sore throat, Runny or stuffy nose, Body aches, Headache, Fatigue. Treatments: Rest, Drinking fluids, Pain relievers, Antiviral medication (in some cases)."
Intestinal obstruction,"Intestinal obstruction occurs when the small or large intestine is partially or completely blocked, leading to abdominal pain, bloating, vomiting, and constipation. Symptoms: Abdominal pain and cramping, Bloating, Vomiting, Constipation. Treatments: Surgery to remove the obstruction, Medications to relieve symptoms, Intravenous fluids and electrolytes."
Ischemic heart disease,"Ischemic heart disease is a condition where the heart muscle is not getting enough blood and oxygen due to a narrowing or blockage of the coronary arteries. Symptoms: Chest pain or discomfort, Shortness of breath, Fatigue, Nausea. Treatments: Lifestyle changes (e.g. exercise, healthy diet), Medications to lower blood pressure and cholesterol, Angioplasty or coronary artery bypass surgery."
Leukemia,"Leukemia is a cancer of the blood cells, where abnormal white blood cells are produced in the bone marrow and interfere with the normal function of red blood cells and platelets. Symptoms: Fatigue, Fever, Frequent infections, Bruising or bleeding easily. Treatments: Chemotherapy, Radiation therapy, Stem cell transplant."
Liver cancer,"Liver cancer is a type of cancer that originates in the liver cells and can spread to other parts of the body. Symptoms: Abdominal pain and swelling, Weight loss, Loss of appetite, Jaundice. Treatments: Surgery to remove the cancer, Chemotherapy, Liver transplant."
Lung cancer,"Lung cancer is a type of cancer that starts in the lungs and can spread to other parts of the body. It is often caused by smoking or exposure to harmful substances like radon or asbestos. Symptoms: Coughing up blood, Chest pain, Shortness of breath, Hoarseness. Treatments: Surgery to remove the cancer, Chemotherapy, Radiation therapy."
Mitral stenosis,"Mitral stenosis is a narrowing of the heart's mitral valve, which separates the upper and lower chambers of the left side of the heart. This narrowing restricts blood flow from the left atrium to the left ventricle, which can lead to a variety of symptoms and complications. Symptoms: Shortness of breath, Fatigue, Heart palpitations, Chest pain, Swelling in the legs or feet, Coughing up blood. Treatments: Medications to reduce fluid buildup, Surgical repair or replacement of the mitral valve, Lifestyle changes, such as maintaining a healthy weight and quitting smoking."
Mitral valve regurgitation,"Mitral valve regurgitation is a condition in which the heart's mitral valve doesn't close tightly, allowing blood to flow backward into the heart's upper chamber. This can lead to a variety of symptoms and complications. Symptoms: Shortness of breath, Fatigue, Heart palpitations, Swelling in the legs or feet, Coughing up blood. Treatments: Medications to control blood pressure and reduce fluid buildup, Surgical repair or replacement of the mitral valve, Lifestyle changes, such as maintaining a healthy weight and quitting smoking."
Myeloma,"Multiple myeloma is a type of cancer that affects plasma cells, a type of white blood cell. The cancerous plasma cells can build up in the bone marrow and form tumors in bones throughout the body. Myeloma can cause a variety of symptoms and complications. Symptoms: Bone pain, Fatigue, Increased susceptibility to infections, Kidney damage, Nausea and vomiting, Unexplained weight loss. Treatments: Chemotherapy, Radiation therapy, Stem cell transplant, Medications to strengthen bones, Pain management."
Non-Hodgkin's lymphoma,"Non-Hodgkin's lymphoma is a type of cancer that affects the lymphatic system, which is a part of the body's immune system. The cancerous cells can accumulate in the lymph nodes, bone marrow, and other organs, leading to a variety of symptoms and complications. Symptoms: Swollen lymph nodes, Fatigue, Night sweats, Fever, Unexplained weight loss, Chest pain or pressure. Treatments: Chemotherapy, Radiation therapy, Immunotherapy, Stem cell transplant, Targeted therapy."
Pancreatic Cancer,"Pancreatic cancer is a type of cancer that begins in the cells of the pancreas. It can spread quickly and is often difficult to detect early. Pancreatic cancer is the fourth leading cause of cancer death in the United States. Symptoms: Abdominal pain, Loss of appetite, Weight loss, Jaundice, Nausea, Vomiting, New-onset diabetes, Fatigue, Depression. Treatments: Surgery, Radiation therapy, Chemotherapy, Targeted therapy."
Peptic ulcer disease,"Peptic ulcer disease (PUD) is a condition where there is an erosion in the lining of the stomach or the first part of the small intestine. Symptoms: Abdominal pain, Bloating, Nausea, Vomiting, Loss of appetite. Treatments: Antibiotics to eliminate H. pylori bacteria, Proton pump inhibitors to reduce stomach acid production, H2 blockers to reduce stomach acid production, Antacids to neutralize stomach acid."
Peripheral arterial disease,"Peripheral arterial disease (PAD) is a condition where there is a narrowing of the arteries that supply blood to the legs and feet. Symptoms: Leg pain, Numbness or weakness in legs, Coldness in lower leg or foot, Sores on toes, feet or legs that won't heal, Change in color of legs. Treatments: Smoking cessation, Exercise and physical therapy, Medications to manage symptoms and prevent blood clots, Angioplasty or stenting to open up blocked arteries, Surgery to bypass blocked arteries."
Pulmonary fibrosis,"Pulmonary fibrosis (PF) is a condition where there is scarring or thickening of the tissue in the lungs, making it difficult for oxygen to pass through. Symptoms: Shortness of breath, Dry cough, Fatigue, Unexplained weight loss, Muscle and joint pain. Treatments: Medications to reduce inflammation, Oxygen therapy to increase oxygen levels, Pulmonary rehabilitation to improve lung function, Lung transplant in severe cases."
Renal failure,"Renal failure is a condition where the kidneys are no longer able to filter waste products from the blood. Symptoms: Swelling in hands, feet, and ankles, Fatigue, Nausea, Decreased appetite, Shortness of breath. Treatments: Dialysis to filter blood, Kidney transplant, Medications to control underlying causes, Dietary changes to manage electrolyte and fluid levels."
Amyotrophic lateral sclerosis (ALS),"A progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord, leading to muscle weakness and eventual paralysis. Symptoms: Muscle weakness and stiffness, Difficulty speaking and swallowing, Muscle twitching and cramping, Gradual loss of mobility, Difficulty breathing. Treatments: Medications to manage symptoms, Physical therapy and occupational therapy, Assistive devices to help with mobility and communication."
Anemia,"A condition in which the body lacks enough red blood cells or hemoglobin, leading to reduced oxygen supply to tissues and organs. Symptoms: Fatigue and weakness, Shortness of breath, Dizziness, Headache, Pale skin, Irregular heartbeat. Treatments: Supplements to increase iron or vitamin levels, Blood transfusions, Medications to stimulate red blood cell production."
Anxiety disorders,"A group of mental health disorders characterized by excessive worry, fear, or nervousness that interferes with daily activities. Symptoms: Excessive worrying, Feeling restless or on edge, Irritability, Difficulty concentrating, Muscle tension, Sleep problems, Panic attacks. Treatments: Therapy to learn coping strategies, Medications to manage symptoms, Lifestyle changes to promote relaxation and stress management."
Autism spectrum disorder,"A neurodevelopmental disorder characterized by social, communication, and behavioral challenges that can vary widely in severity. Symptoms: Difficulty with social interactions, Delayed or absent language development, Repetitive behaviors or routines, Narrow interests, Sensory sensitivities. Treatments: Behavioral therapy to teach social and communication skills, Medications to manage co-occurring conditions, Lifestyle changes to support overall health and well-being."
Autoimmune Disorders,"Autoimmune disorders refer to a group of diseases in which the immune system attacks healthy cells in the body by mistake. Symptoms: Fatigue, Joint pain and swelling, Skin problems, Abdominal pain, Digestive problems, Fever, Swollen glands, Muscle pain. Treatments: Anti-inflammatory medications, Immunosuppressant drugs, Corticosteroids, Physical therapy, Surgery (in severe cases)."
Bipolar Disorder,"Bipolar disorder is a mental illness characterized by extreme mood swings, including episodes of mania and depression. Symptoms: Mood swings, Mania (extreme high), Depression (extreme low), Fatigue, Insomnia, Irritability, Difficulty concentrating, Impaired judgment, Risk-taking behavior. Treatments: Mood stabilizing medications, Antidepressants, Antipsychotic medications, Psychotherapy, Electroconvulsive therapy (ECT) (in severe cases)."
Blood Clotting Disorders,"Blood clotting disorders refer to a group of conditions in which the blood clots too easily or doesn't clot enough, leading to an increased risk of bleeding or clotting. Symptoms: Abnormal bleeding, Bruising, Blood in urine or stool, Swelling, Pain, Redness, Warmth in the affected area. Treatments: Blood thinners, Anticoagulants, Platelet inhibitors, Iron supplements (in some cases)."
Brain Tumors,"Brain tumors refer to abnormal growths of cells in the brain that can be cancerous (malignant) or non-cancerous (benign). Symptoms: Headaches, Seizures, Nausea and vomiting, Memory problems, Changes in vision, hearing, or speech, Difficulty walking or balancing, Weakness or numbness on one side of the body. Treatments: Surgery, Radiation therapy, Chemotherapy, Steroids, Anti-seizure medications."
Cerebral Palsy,"Cerebral palsy is a group of disorders that affect movement and muscle tone or posture. It is caused by damage that occurs to the immature brain as it develops, most often before birth. Symptoms: Muscle stiffness, Muscle weakness, Lack of muscle coordination, Tremors, Difficulty with fine motor skills, Difficulty with gross motor skills, Difficulty with swallowing or speaking. Treatments: Physical therapy, Occupational therapy, Speech therapy, Medications for muscle spasticity or seizures, Surgery in some cases."
Chronic kidney disease,"Chronic kidney disease (CKD) is a condition characterized by a gradual loss of kidney function over time. It can lead to kidney failure if left untreated. Symptoms: Fatigue, Weakness, Loss of appetite, Swelling in the legs, Difficulty sleeping, Changes in urination (e.g., frequency, color, or smell). Treatments: Medications to control blood pressure and cholesterol levels, Dietary changes to manage potassium, sodium, and protein intake, Dialysis or kidney transplant in severe cases."
Colorectal cancer,"Colorectal cancer is a type of cancer that affects the colon and/or rectum. It often starts as a polyp, which can eventually become cancerous if left untreated. Symptoms: Abdominal pain, Blood in the stool, Changes in bowel habits (e.g., diarrhea or constipation), Unintended weight loss, Fatigue. Treatments: Surgery to remove the cancerous tissue, Radiation therapy, Chemotherapy, Immunotherapy."
Congenital heart defects,"Congenital heart defects are abnormalities in the heart's structure that are present at birth. They can affect the heart's valves, chambers, or blood vessels. Symptoms: Blue or gray skin color, Shortness of breath, Fatigue, Swelling in the legs, abdomen, or areas around the eyes, Delayed growth and development (in infants and children). Treatments: Surgery to repair the heart defect, Medications to control symptoms, Heart transplant in severe cases."
Depression,"Depression is a mood disorder that can affect a person's thoughts, feelings, and behaviors. It can lead to feelings of sadness, hopelessness, and loss of interest in daily activities. Symptoms: Persistent feelings of sadness, anxiety, or emptiness, Loss of interest in activities that were once enjoyable, Difficulty sleeping or oversleeping, Changes in appetite or weight, Fatigue, Difficulty concentrating or making decisions. Treatments: Antidepressant medications, Psychotherapy, Brain stimulation therapies (e.g., electroconvulsive therapy or transcranial magnetic stimulation)."
Down Syndrome,"Down Syndrome is a genetic disorder that causes developmental and intellectual delays, as well as physical characteristics such as low muscle tone, upward slanting eyes, and a flat nasal bridge. Symptoms: Intellectual disability, Delayed developmental milestones, Hypotonia (low muscle tone), Upward slanting eyes, Flat nasal bridge, Short stature, Heart defects. Treatments: Early intervention and special education, Speech and physical therapy, Treatment of associated health issues."
Eczema,"Eczema is a chronic skin condition characterized by itchy, inflamed patches of skin. The cause of eczema is unknown, but it is thought to be related to an overactive immune system and a defective skin barrier. Symptoms: Itchy, red, and dry skin, Thickened, cracked, or scaly skin, Small bumps that may leak fluid, Sensitive skin, Discoloration of the skin. Treatments: Moisturizers and topical steroids, Avoiding triggers (such as certain fabrics, soaps, or foods), Antihistamines for itching, Immunosuppressants for severe cases."
Erectile dysfunction,"Erectile dysfunction is the inability to get or maintain an erection firm enough for sexual intercourse. Symptoms: Difficulty getting an erection, Difficulty maintaining an erection, Reduced sexual desire. Treatments: Oral medications such as sildenafil (Viagra), tadalafil (Cialis), or vardenafil (Levitra), Injections into the penis, Penile implants."
Graves' disease,"Graves' disease is an autoimmune disorder that causes hyperthyroidism, or overactive thyroid. Symptoms: Anxiety and irritability, Weight loss, Rapid or irregular heartbeat. Treatments: Anti-thyroid medication such as methimazole or propylthiouracil, Radioactive iodine therapy, Surgery to remove the thyroid gland."
Hashimoto's thyroiditis,"Hashimoto's thyroiditis is an autoimmune disorder that causes hypothyroidism, or underactive thyroid. Symptoms: Fatigue and sluggishness, Weight gain, Depression. Treatments: Synthetic thyroid hormone replacement therapy, Lifestyle changes such as a healthy diet and exercise, Avoiding certain foods such as soy and high-fiber foods."
Hearing loss,"Hearing loss is the partial or total inability to hear sounds. Symptoms: Difficulty hearing conversations, Muffling of speech and other sounds, Ringing in the ears. Treatments: Hearing aids, Cochlear implants, Assistive listening devices."
Hemophilia,"Hemophilia is a genetic disorder that affects the body's ability to clot blood, leading to excessive bleeding and easy bruising. Symptoms: Excessive bleeding, Frequent nosebleeds, Blood in the urine or stool. Treatments: Replacement therapy with clotting factors, Desmopressin to increase the levels of clotting factors, Gene therapy."
High blood pressure (hypertension),"High blood pressure is a common condition in which the force of blood against your artery walls is consistently too high, which can eventually cause health problems, such as heart disease. Symptoms: Headaches, Shortness of breath, Nosebleeds, Flushed face, Dizziness, Chest pain, Visual changes. Treatments: Lifestyle changes (e.g., healthy diet, regular exercise, stress management), Medications (e.g., ACE inhibitors, diuretics, beta blockers), Monitoring blood pressure regularly."
High cholesterol,"High cholesterol is a condition in which you have too much cholesterol — a waxy, fat-like substance — in your blood. High cholesterol can increase your risk of heart disease and other health problems. Symptoms: None (usually asymptomatic), Yellowish patches around the eyes, Xanthomas (fatty deposits) on the elbows, knees, and tendons. Treatments: Lifestyle changes (e.g., healthy diet, regular exercise, quitting smoking), Medications (e.g., statins, bile acid sequestrants, niacin), Monitoring cholesterol levels regularly."
Huntington's disease,"Huntington's disease is a genetic disorder that causes the progressive breakdown of nerve cells in the brain, which leads to mental and physical disabilities. Symptoms: Difficulty concentrating and remembering things, Depression and anxiety, Uncontrolled movements (chorea), Difficulty with coordination and balance, Difficulty with speech and swallowing. Treatments: Medications to control movement and psychiatric symptoms, Physical therapy to maintain mobility and prevent falls, Speech therapy to improve communication and swallowing."
Juvenile idiopathic arthritis,"Juvenile idiopathic arthritis is a type of arthritis that affects children under the age of 16. It causes joint pain, swelling, stiffness, and reduced mobility. Symptoms: Joint pain and swelling, Stiffness, especially in the morning, Limping, High fever, Eye inflammation, Rash. Treatments: Medications to reduce inflammation and pain, Physical therapy to maintain joint mobility and strength, Occupational therapy to improve daily activities and quality of life."
Lou Gehrig's disease,"Lou Gehrig's disease, also known as amyotrophic lateral sclerosis (ALS), is a progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord, leading to muscle weakness, paralysis, and eventually respiratory failure. Symptoms: Muscle weakness in hands, arms, legs or feet, Difficulty speaking, swallowing, or breathing, Muscle cramps and twitching. Treatments: Riluzole (Rilutek), Edaravone (Radicava), Physical therapy and occupational therapy, Breathing support."
Multiple myeloma,"Multiple myeloma is a type of cancer that affects plasma cells, which are white blood cells that produce antibodies to help fight infections. In multiple myeloma, abnormal plasma cells accumulate in the bone marrow and can crowd out healthy blood cells. Symptoms: Bone pain, especially in the back or ribs, Weakness or fatigue, Frequent infections, Nausea or vomiting, Constipation. Treatments: Chemotherapy, Stem cell transplant, Radiation therapy, Targeted therapy, Immunotherapy."
Muscular dystrophy,"Muscular dystrophy is a group of genetic disorders that cause progressive weakness and degeneration of the muscles. Different types of muscular dystrophy have different patterns of inheritance and affect different muscles in the body. Symptoms: Muscle weakness, Frequent falls, Difficulty walking, Muscle stiffness or rigidity, Difficulty breathing. Treatments: Physical therapy, Respiratory therapy, Orthopedic devices (e.g., braces, wheelchairs), Medications to improve muscle strength or delay progression of the disease."
Myasthenia gravis,"Myasthenia gravis is a neuromuscular disorder that causes muscle weakness and fatigue. It occurs when the immune system attacks the receptors that allow nerve impulses to reach the muscles, leading to difficulty controlling the affected muscles. Symptoms: Weakness in the muscles that control eye movement, Double vision, Difficulty speaking or swallowing, Weakness in the arms, legs, or neck, Difficulty breathing. Treatments: Medications that suppress the immune system, Medications that improve nerve function or increase muscle strength, Plasmapheresis (a procedure that removes harmful antibodies from the blood), Thymectomy (surgical removal of the thymus gland, which plays a role in the immune system)."
Narcolepsy,"Narcolepsy is a neurological disorder that affects the sleep-wake cycle. It causes sudden and uncontrollable sleepiness during the day, as well as other symptoms such as cataplexy (loss of muscle control during strong emotions) and hallucinations during sleep or wakefulness. Symptoms: Excessive daytime sleepiness, Sudden loss of muscle control (cataplexy), Sleep paralysis (inability to move or speak when falling asleep or waking up), Hallucinations during sleep or wakefulness, Disrupted nighttime sleep. Treatments: Stimulant medications to promote wakefulness, Sodium oxybate (a medication that improves nighttime sleep and reduces daytime sleepiness), Antidepressants or other medications to control cataplexy or hallucinations, Lifestyle changes to improve sleep hygiene (e.g., avoiding caffeine and alcohol, establishing a regular sleep schedule)."
Nonalcoholic Fatty Liver Disease (NAFLD),"Nonalcoholic fatty liver disease is a condition in which excess fat is stored in the liver. It is not caused by alcohol abuse, and can range from simple fat accumulation to inflammation and cirrhosis. Symptoms: Fatigue, Pain or discomfort in the upper right abdomen, Swelling in the abdomen, Elevated liver enzymes, Insulin resistance and high blood sugar. Treatments: Lifestyle changes such as weight loss, exercise, and a healthy diet, Control of underlying conditions such as diabetes and high cholesterol, Medications such as vitamin E, pioglitazone, and ursodeoxycholic acid."
Obesity,"Obesity is a medical condition in which excess body fat has accumulated to the extent that it may have an adverse effect on health. It is a chronic disease that can lead to many other health problems. Symptoms: Increased body weight, Difficulty moving, Shortness of breath, Fatigue, Joint pain, Sleep apnea, High blood pressure, Type 2 diabetes, Heart disease, Stroke. Treatments: Dietary changes, Increased physical activity, Behavioral therapy, Weight-loss medications, Bariatric surgery."
Obsessive-compulsive disorder (OCD),"Obsessive-compulsive disorder (OCD) is a mental disorder in which a person has uncontrollable, recurring thoughts (obsessions) and/or behaviors (compulsions) that he or she feels the urge to repeat over and over. Symptoms: Obsessions, Compulsions, Fear of contamination, Aggressive impulses, Symmetry and orderliness, Excessive doubt, Hoarding, Trichotillomania, Skin picking. Treatments: Cognitive-behavioral therapy (CBT), Exposure and response prevention (ERP), Medication (SSRIs)."
Ovarian cancer,"Ovarian cancer is a cancer that forms in the ovaries. It is the fifth most common cancer among women. Symptoms: Abdominal bloating, Pelvic pain, Difficulty eating or feeling full quickly, Urinary symptoms, Back pain, Fatigue, Indigestion, Menstrual irregularities. Treatments: Surgery, Chemotherapy, Targeted therapy."
Paget's disease of bone,"Paget's disease of bone is a chronic disorder that typically results in enlarged and deformed bones. It can affect any bone in the body, but most commonly affects the pelvis, spine, skull, and legs. Symptoms: Bone pain, Joint pain, Headaches, Hearing loss, Numbness or tingling, Enlarged bones, Bone deformities. Treatments: Bisphosphonate medications, Calcitonin, Surgery."
Peripheral artery disease (PAD),"Peripheral artery disease (PAD) is a common circulatory problem in which narrowed arteries reduce blood flow to your limbs. Symptoms: Painful cramping in hip, thigh or calf muscles after certain activities, such as walking or climbing stairs, Leg numbness or weakness, Coldness in your lower leg or foot, especially when compared with the other side, Sores on your toes, feet or legs that won't heal, A change in the color of your legs, Hair loss or slower hair growth on your feet and legs, Slower growth of toenails, Shiny skin on your legs, No pulse or a weak pulse in your legs or feet, Erectile dysfunction, especially in men with diabetes. Treatments: Lifestyle changes such as regular exercise, smoking cessation, and healthy diet, Medications like blood thinners, cholesterol-lowering drugs, and medications to control blood pressure, Angioplasty and stenting, Bypass surgery, Amputation of the affected limb, in severe cases."
Peripheral neuropathy,"Peripheral neuropathy is a condition that occurs when the nerves that carry information to and from the brain and spinal cord to the rest of the body are damaged or diseased. Symptoms: Tingling, burning or prickling sensations in the affected area, Sharp, stabbing or shooting pain, Extreme sensitivity to touch, Lack of coordination and falling, Muscle weakness or paralysis if motor nerves are affected, Partial or complete loss of sensation if sensory nerves are affected, Bowel or bladder dysfunction if autonomic nerves are affected, Changes in blood pressure and sweating. Treatments: Treatment of the underlying condition that caused the neuropathy, Medications to relieve pain, such as over-the-counter painkillers, anti-seizure drugs, and antidepressants, Topical treatments like capsaicin cream or lidocaine patches, Physical therapy to help maintain strength and balance, Occupational therapy to help with everyday activities, Surgery, in severe cases."
Peyronie's disease,"Peyronie's disease is a condition in which fibrous scar tissue develops inside the penis, causing curved, painful erections. Symptoms: Bent penis during an erection, Erectile dysfunction, Pain during an erection, Shortening of the penis. Treatments: Medications like collagenase clostridium histolyticum to break down the scar tissue, Injections of verapamil or interferon to reduce the size of the plaque, Surgery, such as plication or grafting, to straighten the penis, Penile implants, in severe cases."
Post-traumatic stress disorder (PTSD),"Post-traumatic stress disorder (PTSD) is a mental health condition triggered by a traumatic event such as combat, natural disasters, sexual assault or serious accidents. People with PTSD often experience flashbacks, nightmares, anxiety, and a feeling of detachment from the world. Symptoms: Flashbacks or reliving the traumatic event, Nightmares and sleep disturbances, Avoiding reminders of the traumatic event, Feeling numb or detached from the world, Hyperarousal or being easily startled, Negative changes in thinking or mood. Treatments: Cognitive-behavioral therapy (CBT), Eye movement desensitization and reprocessing (EMDR), Medications such as antidepressants or anti-anxiety drugs."
Primary biliary cirrhosis,"Primary biliary cirrhosis (PBC) is a chronic liver disease in which the small bile ducts in the liver are gradually destroyed, leading to a buildup of bile and damage to liver cells. The cause of PBC is unknown, but it is thought to be an autoimmune disorder. Symptoms: Fatigue, Itching, Dry eyes and mouth, Enlarged liver or spleen, Jaundice, Osteoporosis. Treatments: Ursodeoxycholic acid (UDCA) to slow the progression of the disease, Vitamin and mineral supplements, Medications to relieve itching or other symptoms, Liver transplant in severe cases."
Primary sclerosing cholangitis,"Primary sclerosing cholangitis is a chronic liver disease characterized by inflammation and scarring of the bile ducts. Over time, this can lead to liver damage and cirrhosis. Symptoms: Abdominal pain, Fatigue, Itching, Jaundice, Weight loss. Treatments: Ursodeoxycholic acid, Endoscopic therapy, Liver transplantation."
Raynaud's disease,"Raynaud's disease is a condition that affects the blood vessels in the fingers and toes, causing them to narrow and reduce blood flow. This can lead to numbness, tingling, and color changes in the affected areas. Symptoms: Numbness, Tingling, Color changes in fingers and toes, Cold fingers and toes. Treatments: Avoiding triggers such as cold temperatures and stress, Medications to improve blood flow, Biofeedback."
Restless legs syndrome (RLS),"Restless legs syndrome is a condition that causes an uncontrollable urge to move the legs, often accompanied by uncomfortable sensations in the legs such as tingling, itching, or crawling. Symptoms: Uncontrollable urge to move legs, Tingling or crawling sensations in legs, Difficulty sleeping. Treatments: Medications such as dopamine agonists and opioids, Lifestyle changes such as regular exercise and good sleep habits."
Scleroderma,"Scleroderma is a group of rare autoimmune diseases that cause the skin and connective tissues to harden and thicken. In some cases, scleroderma can also affect the internal organs such as the lungs, heart, and kidneys. Symptoms: Thickening and hardening of skin, Digestive problems, Joint pain and stiffness, Shortness of breath. Treatments: Immunosuppressive medications, Medications to treat specific symptoms, Physical therapy."
Sickle cell disease,"Sickle cell disease is a genetic blood disorder that causes red blood cells to become misshapen and break down more easily than normal, leading to anemia and other complications. Symptoms: Anemia, Episodes of pain, Jaundice, Swelling of hands and feet. Treatments: Pain medications, Hydroxyurea to reduce the frequency of painful episodes, Blood transfusions."
Sleep Apnea,"Sleep apnea is a sleep disorder characterized by pauses in breathing or shallow breaths during sleep. The condition can lead to poor sleep quality and excessive daytime sleepiness. Symptoms: Loud snoring, Episodes of breathing cessation during sleep witnessed by another person, Gasping or choking during sleep, Excessive daytime sleepiness, Difficulty concentrating, Morning headaches, Irritability. Treatments: Continuous Positive Airway Pressure (CPAP) therapy, Oral appliances, Surgery, Lifestyle changes (e.g. weight loss, quitting smoking, avoiding alcohol and sedatives)."
AIDS,"AIDS (Acquired Immune Deficiency Syndrome) is a disease caused by the human immunodeficiency virus (HIV), which attacks and weakens the immune system. Symptoms: Fever, Fatigue, Swollen lymph nodes, Rapid weight loss, Frequent infections, Skin rashes, Night sweats, Chronic diarrhea, Persistent cough, Memory loss, Depression, Neurological disorders. Treatments: Antiretroviral therapy, Prophylaxis for opportunistic infections, Supportive care."
Anthrax,"Anthrax is a serious bacterial infection caused by the spore-forming bacterium Bacillus anthracis, which can affect both humans and animals. Symptoms: Flu-like symptoms, Skin lesions, Swelling, Fever, Chest discomfort, Shortness of breath, Nausea and vomiting, Abdominal pain, Headache, Confusion. Treatments: Antibiotics, Antitoxins, Wound care."
Avian influenza,"Avian influenza, also known as bird flu, is a highly contagious viral infection that primarily affects birds but can also infect humans. Symptoms: Fever, Cough, Sore throat, Muscle aches, Fatigue, Headache, Difficulty breathing, Pneumonia, Acute respiratory distress syndrome, Multi-organ failure. Treatments: Antiviral drugs, Supportive care, Vaccines (for birds)."
Bacterial meningitis,"Bacterial meningitis is a serious infection of the meninges, which are the protective membranes that surround the brain and spinal cord. Symptoms: Fever, Headache, Stiff neck, Nausea and vomiting, Sensitivity to light, Confusion, Seizures, Coma. Treatments: Antibiotics, Corticosteroids, Supportive care."
Botulism,"Botulism is a rare but serious bacterial infection caused by the toxin produced by the bacterium Clostridium botulinum, which can lead to paralysis and even death. Symptoms: Double vision, Blurred vision, Drooping eyelids, Slurred speech, Difficulty swallowing, Dry mouth, Muscle weakness, Paralysis, Respiratory failure. Treatments: Antitoxin, Ventilation support, Intensive care."
Brucellosis,"Brucellosis is a bacterial infection that spreads from animals to people, usually through unpasteurized dairy products or contact with bodily fluids from infected animals. Symptoms: Fever, Fatigue, Loss of appetite, Joint pain, Muscle pain, Sweating, Headache. Treatments: Antibiotics, Rest, Pain relievers."
Campylobacteriosis,"Campylobacteriosis is a bacterial infection that causes diarrhea, abdominal pain, and fever. It is usually contracted through contaminated food, particularly undercooked poultry. Symptoms: Diarrhea, Abdominal pain, Fever, Nausea, Vomiting. Treatments: Fluids, Antibiotics, Rest."
Candidiasis,"Candidiasis is a fungal infection caused by the overgrowth of yeast. It can occur in various parts of the body, including the mouth, throat, genitals, and skin. Symptoms: Redness, Itching, Burning, Swelling, White patches on the tongue or inside the mouth, Pain during sex, Discharge. Treatments: Antifungal medication, Topical creams, Oral medication."
Chagas disease,"Chagas disease is a parasitic infection caused by the protozoan Trypanosoma cruzi. It is primarily found in Latin America, where it is transmitted to humans through the bite of infected triatomine bugs. Symptoms: Fever, Fatigue, Body aches, Swollen lymph nodes, Headache, Enlarged liver or spleen, Heart palpitations. Treatments: Antiparasitic medication, Symptomatic treatment."
Chickenpox,"Chickenpox is a highly contagious viral infection that causes an itchy rash and blisters. It is primarily spread through direct contact with an infected person or through airborne transmission. Symptoms: Fever, Fatigue, Loss of appetite, Headache, Itchy rash, Blisters, Body aches. Treatments: Antiviral medication, Symptomatic treatment."
Chlamydia,"A common sexually transmitted infection caused by the bacterium Chlamydia trachomatis. Symptoms: Painful urination, Abnormal vaginal discharge, Pain during sex. Treatments: Antibiotics, Pain relievers, Abstaining from sexual activity."
Cholera,"An acute diarrheal illness caused by the bacterium Vibrio cholerae. Symptoms: Profuse watery diarrhea, Vomiting, Dehydration. Treatments: Rehydration therapy, Antibiotics, Zinc supplements."
Coccidioidomycosis,"A fungal infection caused by inhaling spores of the Coccidioides fungus. Symptoms: Cough, Fever, Chest pain. Treatments: Antifungal medications, Rest, Pain relievers."
Common cold,"A viral infection of the upper respiratory tract. Symptoms: Runny nose, Sore throat, Cough. Treatments: Rest, Fluids, Over-the-counter medications for symptom relief."
Creutzfeldt-Jakob disease,"A rare and fatal brain disorder caused by prions, abnormal proteins that damage brain cells. Symptoms: Rapidly progressive dementia, Muscle stiffness, Difficulty with coordination and movement. Treatments: There is no cure or treatment that can slow the progression of the disease."
Cryptococcosis,"Cryptococcosis is a fungal infection caused by Cryptococcus neoformans or Cryptococcus gattii. It can affect the lungs, brain, and other parts of the body. Symptoms: Fever, Headache, Nausea and vomiting, Stiff neck, Sensitivity to light, Confusion, Shortness of breath. Treatments: Antifungal medications, Amphotericin B, Flucytosine, Fluconazole."
Cryptosporidiosis,"Cryptosporidiosis is a parasitic infection caused by the Cryptosporidium parasite. It can cause diarrhea, stomach cramps, nausea, and vomiting. Symptoms: Diarrhea, Stomach cramps, Nausea, Vomiting, Fever, Dehydration. Treatments: Antiparasitic medications, Nitazoxanide, Azithromycin, Rehydration therapy."
